"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n B-$-( X-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"By then it also hopes to begin producing a passenger car based on the Volvo 240 and selling for about $20,000.","O-By O-then O-it O-also O-hopes O-to O-begin O-producing O-a O-passenger O-car O-based O-on O-the O-Volvo O-240 O-and O-selling O-for O-about B-$-$ O-20 X-, X-000 O-."
"At 3.8 million won, or $5,700, the econobox is the lowest-priced car in South Korea.","O-At O-3 X-. X-8 O-million O-won O-, O-or B-$-$ O-5 X-, X-700 O-, O-the O-e X-##con X-##ob X-##ox O-is O-the O-lowest X-- X-priced O-car O-in O-South O-Korea O-."
"Loans for as long as five years make the cars very accessible, with monthly payments as low as 80,000 won, or $120.","O-Lo X-##ans O-for O-as O-long O-as O-five O-years O-make O-the O-cars O-very O-accessible O-, O-with O-monthly O-payments O-as O-low O-as O-80 X-, X-000 O-won O-, O-or B-$-$ O-120 O-."
"The public sector borrowing requirement, the most widely used measure of Britain's government deficit or surplus, showed a deficit of #200 million in September, compared with a deficit of #765 million in August and a deficit of #1.08 billion in September 1988, the Treasury said.","O-The O-public O-sector O-borrow X-##ing O-requirement O-, O-the O-most O-widely O-used O-measure O-of O-Britain O-' X-s O-government O-deficit O-or O-surplus O-, O-showed O-a O-deficit O-of B-$-# O-200 O-million O-in O-September O-, O-compared O-with O-a O-deficit O-of B-$-# O-76 X-##5 O-million O-in O-August O-and O-a O-deficit O-of B-$-# O-1 X-. X-08 O-billion O-in O-September O-1988 O-, O-the O-Treasury O-said O-."
"In the six months since the current fiscal year began April 1, the surplus totaled #500 million, compared with a surplus of #3.6 billion in the year-earlier period.","O-In O-the O-six O-months O-since O-the O-current O-fiscal O-year O-began O-April O-1 O-, O-the O-surplus O-totaled B-$-# O-500 O-million O-, O-compared O-with O-a O-surplus O-of B-$-# O-3 X-. X-6 O-billion O-in O-the O-year X-- X-earlier O-period O-."
The government is projecting a #14 billion surplus for the fiscal year.,O-The O-government O-is O-projecting O-a B-$-# O-14 O-billion O-surplus O-for O-the O-fiscal O-year O-.
"Excluding those receipts, the government deficit would have totaled about #2.5 billion in the first six months, compared with #1.3 billion a year earlier, the Treasury said.","O-Ex X-##c X-##lu X-##ding O-those O-re X-##ceipt X-##s O-, O-the O-government O-deficit O-would O-have O-totaled O-about B-$-# O-2 X-. X-5 O-billion O-in O-the O-first O-six O-months O-, O-compared O-with B-$-# O-1 X-. X-3 O-billion O-a O-year O-earlier O-, O-the O-Treasury O-said O-."
Enserch had offered one-half a share of its common and $1 in cash for each unit.,O-En X-##ser X-##ch O-had O-offered O-one X-- X-half O-a O-share O-of O-its O-common O-and B-$-$ O-1 O-in O-cash O-for O-each O-unit O-.
"Dow's third-quarter net fell to $589 million, or $3.29 a share, from $632 million, or $3.36 a share, a year ago.","O-Dow O-' X-s O-third X-- X-quarter O-net O-fell O-to B-$-$ O-58 X-##9 O-million O-, O-or B-$-$ O-3 X-. X-29 O-a O-share O-, O-from B-$-$ O-63 X-##2 O-million O-, O-or B-$-$ O-3 X-. X-36 O-a O-share O-, O-a O-year O-ago O-."
Sales in the latest quarter rose 2% to $4.25 billion from $4.15 billion a year earlier.,O-Sales O-in O-the O-latest O-quarter O-rose O-2 O-% O-to B-$-$ O-4 X-. X-25 O-billion O-from B-$-$ O-4 X-. X-15 O-billion O-a O-year O-earlier O-.
"Dow closed at $94.625 a share, up 75 cents, in New York Stock Exchange composite trading.","O-Dow O-closed O-at B-$-$ O-94 X-. X-625 O-a O-share O-, O-up O-75 O-cents O-, O-in O-New O-York O-Stock O-Exchange O-composite O-trading O-."
"A spokeswoman said Dow is comfortable with Wall Street expectations that full-year earnings will total about $14.60 a share, compared with last year's record net of $2.4 billion, or $12.76 a share.","O-A O-spoke X-##s X-##woman O-said O-Dow O-is O-comfortable O-with O-Wall O-Street O-expectations O-that O-full X-- X-year O-earnings O-will O-total O-about B-$-$ O-14 X-. X-60 O-a O-share O-, O-compared O-with O-last O-year O-' X-s O-record O-net O-of B-$-$ O-2 X-. X-4 O-billion O-, O-or B-$-$ O-12 X-. X-76 O-a O-share O-."
"But that signal on full-year profit casts doubt on whether Dow will improve on its year-ago fourth-quarter net of $3.44 a share, or $635 million.","O-But O-that O-signal O-on O-full X-- X-year O-profit O-casts O-doubt O-on O-whether O-Dow O-will O-improve O-on O-its O-year X-- X-ago O-fourth X-- X-quarter O-net O-of B-$-$ O-3 X-. X-44 O-a O-share O-, O-or B-$-$ O-63 X-##5 O-million O-."
Dow would earn $14.85 a share for the year if it equaled that year-ago fourth-quarter performance.,O-Dow O-would O-earn B-$-$ O-14 X-. X-85 O-a O-share O-for O-the O-year O-if O-it O-equal X-##ed O-that O-year X-- X-ago O-fourth X-- X-quarter O-performance O-.
Dow officials were signaling that the company would earn less than $15 a share this year even before they announced in July a plan to acquire 67% of Marion Laboratories Inc.,O-Dow O-officials O-were O-signaling O-that O-the O-company O-would O-earn O-less O-than B-$-$ O-15 O-a O-share O-this O-year O-even O-before O-they O-announced O-in O-July O-a O-plan O-to O-acquire O-67 O-% O-of O-Marion O-Laboratories O-Inc O-.
"For the first nine months of the year, Dow earned $2.06 billion, or $11.41 a share, up 17% from $1.76 billion, or $9.32 a share, a year ago.","O-For O-the O-first O-nine O-months O-of O-the O-year O-, O-Dow O-earned B-$-$ O-2 X-. X-06 O-billion O-, O-or B-$-$ O-11 X-. X-41 O-a O-share O-, O-up O-17 O-% O-from B-$-$ O-1 X-. X-76 O-billion O-, O-or B-$-$ O-9 X-. X-32 O-a O-share O-, O-a O-year O-ago O-."
Sales for the latest nine months rose 7.7% to $13.34 billion from $12.38 billion in the year-ago period.,O-Sales O-for O-the O-latest O-nine O-months O-rose O-7 X-. X-7 O-% O-to B-$-$ O-13 X-. X-34 O-billion O-from B-$-$ O-12 X-. X-38 O-billion O-in O-the O-year X-- X-ago O-period O-.
"In what is believed to be the first cancellation of a loan to China since the June 4 killings in Beijing, an international bank syndicate has terminated a $55 million credit for a Shanghai property project.","O-In O-what O-is O-believed O-to O-be O-the O-first O-cancellation O-of O-a O-loan O-to O-China O-since O-the O-June O-4 O-killings O-in O-Beijing O-, O-an O-international O-bank O-s X-##yn X-##dicate O-has O-terminated O-a B-$-$ O-55 O-million O-credit O-for O-a O-Shanghai O-property O-project O-."
"While some commercial lending has resumed, international lenders remain nervous about China's economic troubles and foreign debt -- $40 billion at the end of 1988.","O-While O-some O-commercial O-lending O-has O-resumed O-, O-international O-lend X-##ers O-remain O-nervous O-about O-China O-' X-s O-economic O-troubles O-and O-foreign O-debt O-- X-- B-$-$ O-40 O-billion O-at O-the O-end O-of O-1988 O-."
"The company owes $11 million to the Shui On Group, the project's Hong Kong contractor, and a significant, though unspecified, amount in legal fees to Coudert Brothers, a U.S. law firm, the sources say.","O-The O-company O-owes B-$-$ O-11 O-million O-to O-the O-Shu X-##i O-On O-Group O-, O-the O-project O-' X-s O-Hong O-Kong O-contractor O-, O-and O-a O-significant O-, O-though O-un X-##sp X-##ec X-##ified O-, O-amount O-in O-legal O-fees O-to O-Co X-##ude X-##rt O-Brothers O-, O-a O-U X-. X-S X-. O-law O-firm O-, O-the O-sources O-say O-."
"Instead, the banks secured a promise from state-owned Bank of Communications that it would lend Asia Development the entire $55 million at maturity to finance repayment of the original borrowing.","O-Instead O-, O-the O-banks O-secured O-a O-promise O-from O-state X-- X-owned O-Bank O-of O-Communications O-that O-it O-would O-lend O-Asia O-Development O-the O-entire B-$-$ O-55 O-million O-at O-maturity O-to O-finance O-repay X-##ment O-of O-the O-original O-borrow X-##ing O-."
"Franklin Federal Savings & Loan Association said it expects to post a third-quarter net loss of about $8 million, or $1.04 a share, as a result of adding $11 million in loan-loss reserves.","O-Franklin O-Federal O-Savings O-& O-Lo X-##an O-Association O-said O-it O-expects O-to O-post O-a O-third X-- X-quarter O-net O-loss O-of O-about B-$-$ O-8 O-million O-, O-or B-$-$ O-1 X-. X-04 O-a O-share O-, O-as O-a O-result O-of O-adding B-$-$ O-11 O-million O-in O-loan X-- X-loss O-reserves O-."
"The Portland, Ore., thrift, which has $5.2 billion of assets, had net income in last year's third quarter of $1.8 million, or 23 cents a share.","O-The O-Portland O-, O-Or X-##e X-. O-, O-th X-##rift O-, O-which O-has B-$-$ O-5 X-. X-2 O-billion O-of O-assets O-, O-had O-net O-income O-in O-last O-year O-' X-s O-third O-quarter O-of B-$-$ O-1 X-. X-8 O-million O-, O-or O-23 O-cents O-a O-share O-."
"The company's shares closed yesterday at $4.25, off 25 cents, in national over-the-counter trading.","O-The O-company O-' X-s O-shares O-closed O-yesterday O-at B-$-$ O-4 X-. X-25 O-, O-off O-25 O-cents O-, O-in O-national O-over X-- X-the X-- X-counter O-trading O-."
"William Seidman, chairman of the Federal Deposit Insurance Corp., said Lincoln Savings & Loan Association should have been seized by the government in 1986 to contain losses that he estimated will cost taxpayers as much as $2 billion.","O-William O-Se X-##id X-##man O-, O-chairman O-of O-the O-Federal O-De X-##po X-##si X-##t O-Insurance O-Corp X-. O-, O-said O-Lincoln O-Savings O-& O-Lo X-##an O-Association O-should O-have O-been O-seized O-by O-the O-government O-in O-1986 O-to O-contain O-losses O-that O-he O-estimated O-will O-cost O-tax X-##payers O-as O-much O-as B-$-$ O-2 O-billion O-."
"When Lincoln was seized by the government, for example, 15% of its loans, or $250 million, were to borrowers who were buying real estate from one of American Continental's 50 other subsidiaries, according to Mr. Seidman.","O-When O-Lincoln O-was O-seized O-by O-the O-government O-, O-for O-example O-, O-15 O-% O-of O-its O-loans O-, O-or B-$-$ O-250 O-million O-, O-were O-to O-borrow X-##ers O-who O-were O-buying O-real O-estate O-from O-one O-of O-American O-Continental O-' X-s O-50 O-other O-subsidiaries O-, O-according O-to O-Mr X-. O-Se X-##id X-##man O-."
"The bankruptcy filing, the government has charged in a $1.1 billion civil lawsuit, was part of a pattern to shift insured deposits to the parent company, which used the deposits as a cache for real-estate deals.","O-The O-bankruptcy O-filing O-, O-the O-government O-has O-charged O-in O-a B-$-$ O-1 X-. X-1 O-billion O-civil O-lawsuit O-, O-was O-part O-of O-a O-pattern O-to O-shift O-ins X-##ured O-deposits O-to O-the O-parent O-company O-, O-which O-used O-the O-deposits O-as O-a O-cache O-for O-real X-- X-estate O-deals O-."
"Mr. Seidman said yesterday, for example, that Sen. Dennis DeConcini (D., Ariz.), who received $48,100 in contributions from Mr. Keating, phoned Mr. Seidman to request that he push for a sale of Lincoln before it would be seized.","O-Mr X-. O-Se X-##id X-##man O-said O-yesterday O-, O-for O-example O-, O-that O-Sen O-. O-Dennis O-De X-##C X-##on X-##cini O-( O-D X-. O-, O-Ari X-##z X-. O-) O-, O-who O-received B-$-$ O-48 X-, X-100 O-in O-contributions O-from O-Mr X-. O-Ke X-##ating O-, O-phone X-##d O-Mr X-. O-Se X-##id X-##man O-to O-request O-that O-he O-push O-for O-a O-sale O-of O-Lincoln O-before O-it O-would O-be O-seized O-."
"At the hearing, Mr. Seidman said the RTC has already pumped $729 million into Lincoln for liquidity.","O-At O-the O-hearing O-, O-Mr X-. O-Se X-##id X-##man O-said O-the O-R X-##TC O-has O-already O-pumped B-$-$ O-72 X-##9 O-million O-into O-Lincoln O-for O-liquid X-##ity O-."
He also held out little hope of restitution for purchasers of $225 million in American Continental subordinated debt.,O-He O-also O-held O-out O-little O-hope O-of O-rest X-##itution O-for O-purchase X-##rs O-of B-$-$ O-225 O-million O-in O-American O-Continental O-subordinate X-##d O-debt O-.
"In 1986, India signed a $1.4 billion contract with AB Bofors, a unit of Nobel Industries Sweden AB, to purchase 400 artillery pieces.","O-In O-1986 O-, O-India O-signed O-a B-$-$ O-1 X-. X-4 O-billion O-contract O-with O-AB O-Bo X-##fo X-##rs O-, O-a O-unit O-of O-Nobel O-Industries O-Sweden O-AB O-, O-to O-purchase O-400 O-artillery O-pieces O-."
"March 24, 1986: AB Bofors, a unit of Nobel Industries Sweden AB, enters into a $1.4 billion contract with India's Defense Ministry to supply 400 Bofors FH-77B 155-mm field howitzer guns.","O-March O-24 O-, O-1986 O-: O-AB O-Bo X-##fo X-##rs O-, O-a O-unit O-of O-Nobel O-Industries O-Sweden O-AB O-, O-enters O-into O-a B-$-$ O-1 X-. X-4 O-billion O-contract O-with O-India O-' X-s O-Defense O-Ministry O-to O-supply O-400 O-Bo X-##fo X-##rs O-F X-##H X-- X-77 X-##B O-155 X-- X-mm O-field O-how X-##itzer O-guns O-."
"April 16, 1987: Swedish National Radio reports that about $40 million -- nearly 3% of the total contract -- was paid by Bofors as commissions to middlemen.","O-April O-16 O-, O-1987 O-: O-Swedish O-National O-Radio O-reports O-that O-about B-$-$ O-40 O-million O-- X-- O-nearly O-3 O-% O-of O-the O-total O-contract O-- X-- O-was O-paid O-by O-Bo X-##fo X-##rs O-as O-commissions O-to O-middle X-##men O-."
"June 1, 1987: Sweden's National Audit Bureau releases its report confirming payment of about $40 million to unidentified Indians.","O-June O-1 O-, O-1987 O-: O-Sweden O-' X-s O-National O-Audi X-##t O-Bureau O-releases O-its O-report O-confirming O-payment O-of O-about B-$-$ O-40 O-million O-to O-unidentified O-Indians O-."
"Aug. 26, 1987: Bofors admits payments of $41 million to middlemen.","O-Aug X-. O-26 O-, O-1987 O-: O-Bo X-##fo X-##rs O-admits O-payments O-of B-$-$ O-41 O-million O-to O-middle X-##men O-."
"Mr. Noriega's initial retainer was only $50 to $100 a month, plus occasional gifts of liquor or groceries from the American PX, a former intelligence official says.","O-Mr X-. O-Nor X-##ie X-##ga O-' X-s O-initial O-retain X-##er O-was O-only B-$-$ O-50 O-to B-$-$ O-100 O-a O-month O-, O-plus O-occasional O-gifts O-of O-liquor O-or O-g X-##ro X-##cer X-##ies O-from O-the O-American O-P X-##X O-, O-a O-former O-intelligence O-official O-says O-."
"It was modest pay by American standards, but a healthy boost to his small military salary, which fellow officers remember as having been $300 to $400 monthly.","O-It O-was O-modest O-pay O-by O-American O-standards O-, O-but O-a O-healthy O-boost O-to O-his O-small O-military O-salary O-, O-which O-fellow O-officers O-remember O-as O-having O-been B-$-$ O-300 O-to B-$-$ O-400 O-monthly O-."
"But now, along with reindicting Mr. Noriega's pal, they intended to charge Mr. Noriega himself, on allegations that he was involved in the illegal trading of some $2 million in arms.","O-But O-now O-, O-along O-with O-re X-##ind X-##ict X-##ing O-Mr X-. O-Nor X-##ie X-##ga O-' X-s O-p X-##al O-, O-they O-intended O-to O-charge O-Mr X-. O-Nor X-##ie X-##ga O-himself O-, O-on O-allegations O-that O-he O-was O-involved O-in O-the O-illegal O-trading O-of O-some B-$-$ O-2 O-million O-in O-arms O-."
"Payments averaged nearly $200,000 a year from the U.S. Defense Intelligence Agency and the CIA.","O-Pay X-##ments O-averaged O-nearly B-$-$ O-200 X-, X-000 O-a O-year O-from O-the O-U X-. X-S X-. O-Defense O-Intelligence O-Agency O-and O-the O-CIA O-."
"But just one month later, he also contributed $100,000 to a Contra leader, according to documents released for Oliver North's criminal trial in Washington, D.C.","O-But O-just O-one O-month O-later O-, O-he O-also O-contributed B-$-$ O-100 X-, X-000 O-to O-a O-Con X-##tra O-leader O-, O-according O-to O-documents O-released O-for O-Oliver O-North O-' X-s O-criminal O-trial O-in O-Washington O-, O-D X-. X-C O-."
"Wolf and Pope saw their prospective personal fortunes continue to plummet as shares of UAL, United's parent company, dived $24.875 on the Big Board to close at $198.","O-Wolf O-and O-Pope O-saw O-their O-prospective O-personal O-fortunes O-continue O-to O-p X-##lum X-##met O-as O-shares O-of O-U X-##AL O-, O-United O-' X-s O-parent O-company O-, O-dive X-##d B-$-$ O-24 X-. X-87 X-##5 O-on O-the O-Big O-Board O-to O-close O-at B-$-$ O-198 O-."
"Including Monday's plunge, that has given the two executives paper losses of $49.5 million, based on what they would have realized had the pilots and management-led buy-out of UAL gone through at $300 a share.","O-Including O-Monday O-' X-s O-p X-##lung X-##e O-, O-that O-has O-given O-the O-two O-executives O-paper O-losses O-of B-$-$ O-49 X-. X-5 O-million O-, O-based O-on O-what O-they O-would O-have O-realized O-had O-the O-pilots O-and O-management X-- X-led O-buy X-- X-out O-of O-U X-##AL O-gone O-through O-at B-$-$ O-300 O-a O-share O-."
"Even if the banks resurrect a financing package at $250 a share, the two executives would still get about $25 million less than they stood to gain in the initial transaction.","O-Even O-if O-the O-banks O-re X-##su X-##rre X-##ct O-a O-financing O-package O-at B-$-$ O-250 O-a O-share O-, O-the O-two O-executives O-would O-still O-get O-about B-$-$ O-25 O-million O-less O-than O-they O-stood O-to O-gain O-in O-the O-initial O-transaction O-."
"Mr. Wolf owns 75,000 UAL shares and has options to buy another 250,000 at $83.3125 each.","O-Mr X-. O-Wolf O-owns O-75 X-, X-000 O-U X-##AL O-shares O-and O-has O-options O-to O-buy O-another O-250 X-, X-000 O-at B-$-$ O-83 X-. X-312 X-##5 O-each O-."
"In the $300-a-share buyout, that totaled about $76.7 million.","O-In O-the B-$-$ O-300 X-- X-a X-- X-share O-buy X-##out O-, O-that O-totaled O-about B-$-$ O-76 X-. X-7 O-million O-."
"By yesterday's close of trading, it was good for a paltry $43.5 million.","O-By O-yesterday O-' X-s O-close O-of O-trading O-, O-it O-was O-good O-for O-a O-p X-##al X-##try B-$-$ O-43 X-. X-5 O-million O-."
"He left his last two jobs at Republic Airlines and Flying Tiger with combined stock-option gains of about $22 million, and UAL gave him a $15 million bonus when it hired him.","O-He O-left O-his O-last O-two O-jobs O-at O-Republic O-Airlines O-and O-Flying O-Tiger O-with O-combined O-stock X-- X-option O-gains O-of O-about B-$-$ O-22 O-million O-, O-and O-U X-##AL O-gave O-him O-a B-$-$ O-15 O-million O-bonus O-when O-it O-hired O-him O-."
"His 1988 salary was $575,000, with a $575,000 bonus.","O-His O-1988 O-salary O-was B-$-$ O-57 X-##5 X-, X-000 O-, O-with O-a B-$-$ O-57 X-##5 X-, X-000 O-bonus O-."
