Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of O-225 O-stocks O-jumped O-52 X-##7 X-. X-39 O-points B-TO-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"More than half the decline in Ford's expected car output comes from closing its Escort plant in Wayne, Mich., as of Nov. 22 to prepare for production of the next generation of the popular subcompact.","O-More O-than O-half O-the O-decline O-in O-Ford O-' X-s O-expected O-car O-output O-comes O-from O-closing O-its O-E X-##sco X-##rt O-plant O-in O-Wayne O-, O-Mi X-##ch X-. O-, O-as O-of O-Nov X-. O-22 B-TO-to O-prepare O-for O-production O-of O-the O-next O-generation O-of O-the O-popular O-sub X-##com X-##pa X-##ct O-."
"If Accord were to top the list in 1990, it would be the first vehicle from a foreign auto maker ever to hold that spot.","O-If O-A X-##cco X-##rd O-were B-TO-to O-top O-the O-list O-in O-1990 O-, O-it O-would O-be O-the O-first O-vehicle O-from O-a O-foreign O-auto O-maker O-ever B-TO-to O-hold O-that O-spot O-."
"Control Data Corp., Minneapolis, signed a joint development agreement with MIPS Computer Systems Inc. to incorporate an emerging computing architecture in future machines.","O-Control O-Data O-Corp X-. O-, O-Minneapolis O-, O-signed O-a O-joint O-development O-agreement O-with O-MI X-##PS O-Computer O-Systems O-Inc O-. B-TO-to O-incorporate O-an O-emerging O-computing O-architecture O-in O-future O-machines O-."
Control Data said it expects its first RISC-based mainframe machine to be introduced next year.,O-Control O-Data O-said O-it O-expects O-its O-first O-R X-##IS X-##C X-- X-based O-main X-##frame O-machine B-TO-to O-be O-introduced O-next O-year O-.
"The accord with MIPS calls for Control Data to share its expertise in data storage, the companies said.","O-The O-accord O-with O-MI X-##PS O-calls O-for O-Control O-Data B-TO-to O-share O-its O-expertise O-in O-data O-storage O-, O-the O-companies O-said O-."
The company said it expects the name change to take effect within a week.,O-The O-company O-said O-it O-expects O-the O-name O-change B-TO-to O-take O-effect O-within O-a O-week O-.
"Sluggish sales of the Beretta, and its four-door sister car, the Corsica, prompted GM to idle the two plants that build the automobiles for a total of three weeks this month.","O-S X-##lug X-##gis X-##h O-sales O-of O-the O-Be X-##retta O-, O-and O-its O-four X-- X-door O-sister O-car O-, O-the O-Co X-##rs X-##ica O-, O-prompted O-GM B-TO-to O-idle O-the O-two O-plants O-that O-build O-the O-automobiles O-for O-a O-total O-of O-three O-weeks O-this O-month O-."
"The News agreed to pay a minimum of $100,000 annually for five years for the features, and an unusual $500,000 fee, mostly up front, to keep all current and future Universal offerings for itself in the Dallas area.","O-The O-News O-agreed B-TO-to O-pay O-a O-minimum O-of O-$ O-100 X-, X-000 O-annually O-for O-five O-years O-for O-the O-features O-, O-and O-an O-unusual O-$ O-500 X-, X-000 O-fee O-, O-mostly O-up O-front O-, B-TO-to O-keep O-all O-current O-and O-future O-Universal O-offerings O-for O-itself O-in O-the O-Dallas O-area O-."
"One effect, syndicate executives say, is that some newspapers in competing markets are considering seeking long-term contracts for their favorite features instead of the usual pacts that let the syndicate cancel with 30 to 90 days' notice.","O-One O-effect O-, O-s X-##yn X-##dicate O-executives O-say O-, O-is O-that O-some O-newspapers O-in O-competing O-markets O-are O-considering O-seeking O-long X-- X-term O-contracts O-for O-their O-favorite O-features O-instead O-of O-the O-usual O-pact X-##s O-that O-let O-the O-s X-##yn X-##dicate O-cancel O-with O-30 B-TO-to O-90 O-days X-' O-notice O-."
"Plans call for the two to explore TV programming drawn from the syndicate's and others' characters, as well as to develop TV ads for newspapers using Universal's characters.","O-Plans O-call O-for O-the O-two B-TO-to O-explore O-TV O-programming O-drawn O-from O-the O-s X-##yn X-##dicate O-' X-s O-and O-others X-' O-characters O-, O-as O-well O-as B-TO-to O-develop O-TV O-ads O-for O-newspapers O-using O-Universal O-' X-s O-characters O-."
Universal says that it wanted all its creators to share in the television venture and Belo wouldn't promote features appearing in its competition.,O-Universal O-says O-that O-it O-wanted O-all O-its O-creators B-TO-to O-share O-in O-the O-television O-venture O-and O-Bel X-##o O-would O-n X-' X-t O-promote O-features O-appearing O-in O-its O-competition O-.
"The Times Herald charges that the venture is a smokescreen, created to hide the News's plan to buy the features away.","O-The O-Times O-Herald O-charges O-that O-the O-venture O-is O-a O-smoke X-##screen O-, O-created B-TO-to O-hide O-the O-News O-' X-s O-plan B-TO-to O-buy O-the O-features O-away O-."
Some syndicate executives apparently prefer not to discuss the episode in public.,O-Some O-s X-##yn X-##dicate O-executives O-apparently O-prefer O-not B-TO-to O-discuss O-the O-episode O-in O-public O-.
"Willard Colston, chairman of the Los Angeles Times Syndicate and program director of the National Features Council, wanted the group to sponsor a panel discussion on the pact at its annual meeting in Dallas last week.","O-Willard O-Col X-##ston O-, O-chairman O-of O-the O-Los O-Angeles O-Times O-Syndicate O-and O-program O-director O-of O-the O-National O-Features O-Council O-, O-wanted O-the O-group B-TO-to O-sponsor O-a O-panel O-discussion O-on O-the O-pact O-at O-its O-annual O-meeting O-in O-Dallas O-last O-week O-."
"But Universal's Mr. McMeel, the council's president, asked directors to reconsider, and they voted down the discussion 13-12, Mr. Colston says.","O-But O-Universal O-' X-s O-Mr X-. O-M X-##c X-##M X-##eel O-, O-the O-council O-' X-s O-president O-, O-asked O-directors B-TO-to O-re X-##con X-##side X-##r O-, O-and O-they O-voted O-down O-the O-discussion O-13 X-- X-12 O-, O-Mr X-. O-Col X-##ston O-says O-."
"Meanwhile, the Times Herald is just hoping to survive this latest blow.","O-Meanwhile O-, O-the O-Times O-Herald O-is O-just O-hoping B-TO-to O-survive O-this O-latest O-blow O-."
"A Houston state district judge refused to enjoin the syndicate from moving the features, and the Morning News began running most of them a few weeks ago.","O-A O-Houston O-state O-district O-judge O-refused B-TO-to O-en X-##join O-the O-s X-##yn X-##dicate O-from O-moving O-the O-features O-, O-and O-the O-Morning O-News O-began O-running O-most O-of O-them O-a O-few O-weeks O-ago O-."
"In a sign of its continuing problems in the U.S. auto market, General Motors Corp. acknowledged that a key midsized-car plant will shut down for two weeks to cut bulging inventories of Pontiac Grand Prix models.","O-In O-a O-sign O-of O-its O-continuing O-problems O-in O-the O-U X-. X-S X-. O-auto O-market O-, O-General O-Motors O-Corp O-. O-acknowledged O-that O-a O-key O-mid X-##si X-##zed X-- X-car O-plant O-will O-shut O-down O-for O-two O-weeks B-TO-to O-cut O-b X-##ul X-##ging O-inventor X-##ies O-of O-Pontiac O-Grand O-Prix O-models O-."
"Meanwhile, GM Chairman Roger B. Smith said it should be ""no surprise"" the auto maker is moving to close permanently more North American assembly plants.","O-Meanwhile O-, O-GM O-Chairman O-Roger O-B X-. O-Smith O-said O-it O-should O-be O-"" O-no O-surprise O-"" O-the O-auto O-maker O-is O-moving B-TO-to O-close O-permanently O-more O-North O-American O-assembly O-plants O-."
Mr. Smith said GM is looking for ways to save some of the five older plants targeted last week.,O-Mr X-. O-Smith O-said O-GM O-is O-looking O-for O-ways B-TO-to O-save O-some O-of O-the O-five O-older O-plants O-targeted O-last O-week O-.
"The latest evidence of that is the decision to idle the Fairfax, Kan., plant that makes the Grand Prix less than three weeks into the new model year.","O-The O-latest O-evidence O-of O-that O-is O-the O-decision B-TO-to O-idle O-the O-Fairfax O-, O-Ka X-##n X-. O-, O-plant O-that O-makes O-the O-Grand O-Prix O-less O-than O-three O-weeks O-into O-the O-new O-model O-year O-."
"This fall, GM introduced the first four-door versions of the cars -- a move that was supposed to spur sales of the models, which have been disappointing so far.","O-This O-fall O-, O-GM O-introduced O-the O-first O-four X-- X-door O-versions O-of O-the O-cars O-- X-- O-a O-move O-that O-was O-supposed B-TO-to O-spur O-sales O-of O-the O-models O-, O-which O-have O-been O-disappointing O-so O-far O-."
"Union officials at the Fairfax plant said the company is studying the feasibility of giving the plant another product to build, contrary to GM's original plan.","O-Union O-officials O-at O-the O-Fairfax O-plant O-said O-the O-company O-is O-studying O-the O-f X-##eas X-##ibility O-of O-giving O-the O-plant O-another O-product B-TO-to O-build O-, O-contrary O-to O-GM O-' X-s O-original O-plan O-."
"Company officials declined to comment on this issue, calling the talk ""speculation.""","O-Company O-officials O-declined B-TO-to O-comment O-on O-this O-issue O-, O-calling O-the O-talk O-"" O-speculation O-. O-"""
"National Patent Development Corp. said it plans to purchase as many as 200,000 common shares of its 81%-controlled Interferon Sciences Inc. unit in periodic, open-market purchases.","O-National O-Patent O-Development O-Corp O-. O-said O-it O-plans B-TO-to O-purchase O-as O-many O-as O-200 X-, X-000 O-common O-shares O-of O-its O-81 O-% X-- O-controlled O-Inter X-##fer X-##on O-Sciences O-Inc O-. O-unit O-in O-periodic O-, O-open X-- X-market O-purchases O-."
Zurn Industries Inc. said it received approval to proceed on four separate projects with a total contract value of $59 million.,O-Z X-##urn O-Industries O-Inc O-. O-said O-it O-received O-approval B-TO-to O-proceed O-on O-four O-separate O-projects O-with O-a O-total O-contract O-value O-of O-$ O-59 O-million O-.
"Britain's Monopolies and Mergers Commission Wednesday cleared Rhone-Poulenc S.A.'s purchase of a specialty bulk-chemical unit from Monsanto Co., saying the purchase was unlikely to have any lasting impact on U.K. industrial consumers.","O-Britain O-' X-s O-Mon X-##op X-##oli X-##es O-and O-Me X-##rger X-##s O-Commission O-Wednesday O-cleared O-R X-##hone X-- X-Po X-##ule X-##nc O-S X-. X-A X-. O-' O-s O-purchase O-of O-a O-specialty O-bulk X-- X-chemical O-unit O-from O-Mon X-##san X-##to O-Co X-. O-, O-saying O-the O-purchase O-was O-unlikely B-TO-to O-have O-any O-lasting O-impact O-on O-U X-. X-K X-. O-industrial O-consumers O-."
"The commission, which was asked to study the deal by the Department of Trade and Industry after its announcement in February, said the diversity of global supply of chemicals used in making analgesic drugs was great enough to offset the dominant U.K. market share Rhone-Poulenc would gain through the acquisition.","O-The O-commission O-, O-which O-was O-asked B-TO-to O-study O-the O-deal O-by O-the O-Department O-of O-Trade O-and O-Industry O-after O-its O-announcement O-in O-February O-, O-said O-the O-diversity O-of O-global O-supply O-of O-chemicals O-used O-in O-making O-anal X-##ges X-##ic O-drugs O-was O-great O-enough B-TO-to O-offset O-the O-dominant O-U X-. X-K X-. O-market O-share O-R X-##hone X-- X-Po X-##ule X-##nc O-would O-gain O-through O-the O-acquisition O-."
"The commission found that if the British government attempted to block the merger, Rhone-Poulenc would likely respond by closing the salicylates plant Monsanto operates in Wales, removing the matter from U.K. jurisdiction.","O-The O-commission O-found O-that O-if O-the O-British O-government O-attempted B-TO-to O-block O-the O-merger O-, O-R X-##hone X-- X-Po X-##ule X-##nc O-would O-likely O-respond O-by O-closing O-the O-sa X-##lic X-##yla X-##tes O-plant O-Mon X-##san X-##to O-operates O-in O-Wales O-, O-removing O-the O-matter O-from O-U X-. X-K X-. O-jurisdiction O-."
"FERC's regulation had given pipelines until March 31, 1989, to pass on to customers as much as 50% of the costs of buying out their broken contracts, which were made with producers when gas prices were high and supplies short.","O-F X-##ER X-##C O-' X-s O-regulation O-had O-given O-pipeline X-##s O-until O-March O-31 O-, O-1989 O-, B-TO-to O-pass O-on O-to O-customers O-as O-much O-as O-50 O-% O-of O-the O-costs O-of O-buying O-out O-their O-broken O-contracts O-, O-which O-were O-made O-with O-producers O-when O-gas O-prices O-were O-high O-and O-supplies O-short O-."
"But pipeline companies estimate they still face $2.4 billion in liabilities from unresolved disputes, including $1 billion they fear they won't be able to pass on to customers.","O-But O-pipeline O-companies O-estimate O-they O-still O-face O-$ O-2 X-. X-4 O-billion O-in O-l X-##ia X-##bilities O-from O-un X-##res X-##ol X-##ved O-disputes O-, O-including O-$ O-1 O-billion O-they O-fear O-they O-w X-##o O-n X-' X-t O-be O-able B-TO-to O-pass O-on O-to O-customers O-."
"According to industry lawyers, the ruling gives pipeline companies an important second chance to resolve remaining disputes and take advantage of the cost-sharing mechanism.","O-According O-to O-industry O-lawyers O-, O-the O-ruling O-gives O-pipeline O-companies O-an O-important O-second O-chance B-TO-to O-resolve O-remaining O-disputes O-and O-take O-advantage O-of O-the O-cost X-- X-sharing O-mechanism O-."
"The court, agreeing with pipeline companies, found the March 31 deadline was ""arbitrary and capricious"" and ""highly prejudicial to the bargaining power of pipelines"" that were forced to negotiate settlement of the old take-or-pay contracts to meet the deadline.","O-The O-court O-, O-agreeing O-with O-pipeline O-companies O-, O-found O-the O-March O-31 O-deadline O-was O-"" O-arbitrary O-and O-cap X-##ric X-##ious O-"" O-and O-"" O-highly O-pre X-##ju X-##dic X-##ial O-to O-the O-bargaining O-power O-of O-pipeline X-##s O-"" O-that O-were O-forced B-TO-to O-negotiate O-settlement O-of O-the O-old O-take X-- X-or X-- X-pay O-contracts B-TO-to O-meet O-the O-deadline O-."
"The court ordered FERC to justify within 60 days not only its cost-sharing deadline, but other major elements of its proposed regulation for introducing more competition into natural-gas transportation.","O-The O-court O-ordered O-F X-##ER X-##C B-TO-to O-justify O-within O-60 O-days O-not O-only O-its O-cost X-- X-sharing O-deadline O-, O-but O-other O-major O-elements O-of O-its O-proposed O-regulation O-for O-introducing O-more O-competition O-into O-natural X-- X-gas O-transportation O-."
The court also questioned a crediting mechanism that could be used to resolve take-or-pay liabilities.,O-The O-court O-also O-questioned O-a O-credit X-##ing O-mechanism O-that O-could O-be O-used B-TO-to O-resolve O-take X-- X-or X-- X-pay O-l X-##ia X-##bilities O-.
"The court's decision would allow FERC to change some of its provisions, but ensures it will be reviewed again quickly by the court.","O-The O-court O-' X-s O-decision O-would O-allow O-F X-##ER X-##C B-TO-to O-change O-some O-of O-its O-provisions O-, O-but O-ensures O-it O-will O-be O-reviewed O-again O-quickly O-by O-the O-court O-."
"Directors elected R. Marvin Womack, currently vice president/product supply, purchasing, to head the company's Washington, D.C., office.","O-Directors O-elected O-R O-. O-Marvin O-W X-##oma X-##ck O-, O-currently O-vice O-president O-/ O-product O-supply O-, O-purchasing O-, B-TO-to O-head O-the O-company O-' X-s O-Washington O-, O-D X-. X-C X-. O-, O-office O-."
"As vice president/national-government relations, Mr. Womack will work with P&G's top management and with the company's government-relations staff ""to represent P&G's interests at the federal level,"" said John G. Smale, chairman and chief executive officer.","O-As O-vice O-president O-/ O-national X-- X-government O-relations O-, O-Mr X-. O-W X-##oma X-##ck O-will O-work O-with O-P O-& O-G O-' X-s O-top O-management O-and O-with O-the O-company O-' X-s O-government X-- X-relations O-staff O-"" B-TO-to O-represent O-P O-& O-G O-' X-s O-interests O-at O-the O-federal O-level O-, X-"" O-said O-John O-G X-. O-S X-##mal X-##e O-, O-chairman O-and O-chief O-executive O-officer O-."
"Lionel also urged holders of its stock and debt not to tender their securities, saying it wants to remain independent to pursue its business strategy.","O-Lionel O-also O-urged O-holders O-of O-its O-stock O-and O-debt O-not B-TO-to O-tender O-their O-securities O-, O-saying O-it O-wants B-TO-to O-remain O-independent B-TO-to O-pursue O-its O-business O-strategy O-."
"In addition, Lionel began a lawsuit in federal District Court in New York seeking to enjoin the offer, alleging, among other things, violations of federal securities law and fraudulent manipulation of the market for Lionel's securities.","O-In O-addition O-, O-Lionel O-began O-a O-lawsuit O-in O-federal O-District O-Court O-in O-New O-York O-seeking B-TO-to O-en X-##join O-the O-offer O-, O-alleging O-, O-among O-other O-things O-, O-violations O-of O-federal O-securities O-law O-and O-fraud X-##ulent O-manipulation O-of O-the O-market O-for O-Lionel O-' X-s O-securities O-."
